seqnames	organism
NC_021248.1	Choristoneura_biennis_entomopoxvirus
NC_021247.1	Adoxophyes_honmai_entomopoxvirus_L
NC_021246.1	Mythimna_separata_entomopoxvirus_L
NC_021249.1	Choristoneura_rosaceana_entomopoxvirus_L
NC_001422.1	Escherichia_virus_phiX174
NC_005817.1	Sclerophthora_macrospora_virus_A
NC_005818.1	Sclerophthora_macrospora_virus_A
NC_005819.1	Sclerophthora_macrospora_virus_A
NC_002204.1	Influenza_B_virus_(B/Lee/1940)
NC_002205.1	Influenza_B_virus_(B/Lee/1940)
NC_002206.1	Influenza_B_virus_(B/Lee/1940)
NC_002207.1	Influenza_B_virus_(B/Lee/1940)
NC_002208.1	Influenza_B_virus_(B/Lee/1940)
NC_002209.1	Influenza_B_virus_(B/Lee/1940)
NC_002210.1	Influenza_B_virus_(B/Lee/1940)
NC_002211.1	Influenza_B_virus_(B/Lee/1940)
NC_001998.1	Chlamydia_phage_CPG1
NC_001442.1	Bos_taurus_polyomavirus_1
NC_001678.1	Alphapapillomavirus_12
NC_001829.1	Adeno-associated_virus_-_4
NC_001895.1	Escherichia_virus_P2
NC_001954.1	Escherichia_phage_If1
NC_000866.4	Escherichia_virus_T4
NC_002166.1	Escherichia_virus_HK022
NC_002214.1	Streptococcus_virus_Sfi11
NC_002195.1	Torque_teno_mini_virus_9
NC_001421.2	Enterobacteria_phage_PRD1
NC_001465.1	Coconut_foliar_decay_alphasatellite
NC_001505.2	Mus_musculus_polyomavirus_2
NC_001541.1	Kappapapillomavirus_2
NC_001938.1	Tomato_mottle_virus
NC_001939.1	Tomato_mottle_virus
NC_001875.2	Orgyia_pseudotsugata_multiple_nucleopolyhedrovirus
NC_001962.1	Bombyx_mori_nucleopolyhedrovirus
NC_002362.1	Vibrio_phage_VfO3K6
NC_002520.1	Amsacta_moorei_entomopoxvirus
NC_002555.1	Tomato_rugose_mosaic_virus
NC_002556.1	Tomato_rugose_mosaic_virus
NC_000929.1	Escherichia_phage_Mu
NC_002656.1	Mycobacterium_virus_Bxb1
NC_002671.1	Lactococcus_phage_bIL312
NC_002797.1	Discula_destructiva_virus_1
NC_002800.1	Discula_destructiva_virus_1
NC_002984.1	Cucurbit_leaf_crumple_virus
NC_002985.1	Cucurbit_leaf_crumple_virus
NC_003054.1	Goose_circovirus
NC_003138.2	Blueberry_red_ringspot_virus
NC_000872.1	Streptococcus_virus_Sfi21
NC_002661.2	Staphylococcus_virus_phiSLT
NC_003288.1	Staphylococcus_virus_phiETA
NC_003324.1	Sinorhizobium_phage_PBC5
NC_003378.1	Tobacco_vein_clearing_virus
NC_003387.1	Mycobacterium_phage_TM4
NC_001902.1	Methanobacterium_phage_psiM2
NC_003470.1	Atkinsonella_hypoxylon_virus
NC_003471.1	Atkinsonella_hypoxylon_virus
NC_003529.1	Mamestra_configurata_nucleopolyhedrovirus_A
NC_003609.1	Honeysuckle_yellow_vein_mosaic_virus
NC_003708.1	Watermelon_chlorotic_stunt_virus
NC_003709.1	Watermelon_chlorotic_stunt_virus
NC_003867.1	Tomato_mosaic_Havana_virus-[Quivican]
NC_003868.1	Tomato_mosaic_Havana_virus-[Quivican]
NC_001540.1	Bovine_parvovirus
NC_001669.1	Macaca_mulatta_polyomavirus_1
NC_001706.1	Lactococcus_virus_c2
NC_001884.1	Bacillus_virus_SPbeta
NC_001936.1	Squash_leaf_curl_virus
NC_001937.1	Squash_leaf_curl_virus
NC_000924.1	Escherichia_phage_933W
NC_000935.1	Hamiltonella_virus_APSE1
NC_001792.2	Porcine_circovirus_1
NC_002232.1	Oryctolagus_cuniculus_papillomavirus_1
NC_001418.1	Pseudomonas_phage_Pf3
NC_001447.1	Acholeplasma_virus_L2
NC_001484.1	Ground_squirrel_hepatitis_virus
NC_001538.1	Human_polyomavirus_1
NC_001697.1	Haemophilus_virus_HP1
NC_002046.1	Sida_golden_mosaic_virus
NC_002047.1	Sida_golden_mosaic_virus
NC_001956.1	Vibrio_phage_fs2
NC_002331.1	Xestia_c-nigrum_granulovirus
NC_001835.1	Lactococcus_virus_sk1
NC_002543.1	Horseradish_curly_top_virus
NC_002593.1	Plutella_xylostella_granulovirus
NC_002654.2	Helicoverpa_armigera_nucleopolyhedrovirus_G4
NC_002669.1	Lactococcus_phage_bIL310
NC_002747.1	Lactococcus_phage_TP901-1
NC_002981.1	Ageratum_yellow_vein_Sri_Lanka_virus
NC_003038.1	Invertebrate_iridescent_virus_6
